hostname,n_planets,avg_pl_rade,first_disc_year,last_disc_year
Kepler-1091,1,1.46,2016,2016
Kepler-1092,1,2.07,2016,2016
Kepler-1094,1,3.18,2016,2016
Kepler-1095,1,1.21,2016,2016
Kepler-1096,1,1.24,2016,2016
Kepler-1097,1,3.26,2016,2016
Kepler-1098,1,1.3,2016,2016
Kepler-1099,1,2.83,2016,2016
Kepler-1100,1,1.75,2016,2016
Kepler-1101,1,2.47,2016,2016
Kepler-1102,1,2.66,2016,2016
Kepler-1103,1,2.27,2016,2016
Kepler-1104,1,1.23,2016,2016
Kepler-1105,1,2.01,2016,2016
Kepler-1106,1,1.65,2016,2016
Kepler-1107,1,1.34,2016,2016
Kepler-1108,1,1.46,2016,2016
Kepler-1109,1,2.19,2016,2016
Kepler-1110,1,2.66,2016,2016
Kepler-1111,1,2.0,2016,2016
Kepler-1112,1,3.02,2016,2016
Kepler-1113,1,2.81,2016,2016
Kepler-1114,1,1.35,2016,2016
Kepler-1115,1,1.7,2016,2016
Kepler-1116,1,2.54,2016,2016
Kepler-1117,1,1.11,2016,2016
Kepler-1118,1,2.74,2016,2016
Kepler-1119,1,1.92,2016,2016
Kepler-1120,1,1.38,2016,2016
Kepler-1121,1,1.91,2016,2016
Kepler-1122,1,2.04,2016,2016
Kepler-1123,1,1.67,2016,2016
Kepler-1124,1,1.28,2016,2016
Kepler-1125,1,1.84,2016,2016
Kepler-1127,1,1.96,2016,2016
Kepler-1128,1,3.65,2016,2016
Kepler-1131,1,1.59,2016,2016
Kepler-1132,1,2.35,2016,2016
Kepler-1133,1,1.97,2016,2016
Kepler-1134,1,2.64,2016,2016
Kepler-1135,1,1.85,2016,2016
Kepler-1136,1,1.64,2016,2016
Kepler-1137,1,2.2,2016,2016
Kepler-1138,1,1.7,2016,2016
Kepler-1139,1,1.19,2016,2016
Kepler-1140,1,2.77,2016,2016
Kepler-1141,1,0.82,2016,2016
Kepler-1142,1,1.47,2016,2016
Kepler-1144,1,1.99,2016,2016
Kepler-1145,1,1.4,2016,2016
Kepler-1146,1,1.23,2016,2016
Kepler-1147,1,2.61,2016,2016
Kepler-1148,1,1.69,2016,2016
Kepler-1149,1,1.44,2016,2016
Kepler-1150,1,1.02,2016,2016
Kepler-1151,1,2.22,2016,2016
Kepler-1152,1,0.87,2016,2016
Kepler-1153,1,1.73,2016,2016
Kepler-1155,1,2.03,2016,2016
Kepler-1156,1,1.32,2016,2016
Kepler-1157,1,1.09,2016,2016
Kepler-1158,1,2.34,2016,2016
Kepler-1159,1,2.37,2016,2016
Kepler-1160,1,2.14,2016,2016
Kepler-1161,1,2.13,2016,2016
Kepler-1163,1,1.03,2016,2016
Kepler-1164,1,1.12,2016,2016
Kepler-1166,1,1.69,2016,2016
Kepler-1167,1,1.71,2016,2016
Kepler-1168,1,2.5,2016,2016
Kepler-1169,1,0.94,2016,2016
Kepler-1170,1,2.41,2016,2016
Kepler-1171,1,2.56,2016,2016
Kepler-1172,1,3.2,2016,2016
Kepler-1173,1,0.89,2016,2016
Kepler-1174,1,1.59,2016,2016
Kepler-1175,1,2.99,2016,2016
Kepler-1176,1,2.45,2016,2016
Kepler-1177,1,1.9,2016,2016
Kepler-1178,1,1.07,2016,2016
Kepler-1179,1,1.32,2016,2016
Kepler-1180,1,1.99,2016,2016
Kepler-1182,1,2.41,2016,2016
Kepler-1183,1,2.82,2016,2016
Kepler-1184,1,2.68,2016,2016
Kepler-1185,1,1.33,2016,2016
Kepler-1186,1,2.23,2016,2016
Kepler-1187,1,2.61,2016,2016
Kepler-1188,1,2.08,2016,2016
Kepler-1189,1,1.77,2016,2016
Kepler-1190,1,1.33,2016,2016
Kepler-1191,1,1.51,2016,2016
Kepler-1192,1,2.36,2016,2016
Kepler-1193,1,1.32,2016,2016
Kepler-1194,1,1.51,2016,2016
Kepler-1195,1,2.08,2016,2016
Kepler-1196,1,2.23,2016,2016
Kepler-1197,1,1.25,2016,2016
Kepler-1198,1,1.47,2016,2016
Kepler-1199,1,1.15,2016,2016
Kepler-12,1,19.661,2011,2011
Kepler-1200,1,1.06,2016,2016
Kepler-1201,1,2.29,2016,2016
Kepler-1202,1,2.94,2016,2016
Kepler-1203,1,1.06,2016,2016
Kepler-1204,1,3.05,2016,2016
Kepler-1205,1,1.41,2016,2016
Kepler-1206,1,1.64,2016,2016
Kepler-1207,1,1.62,2016,2016
Kepler-1208,1,2.32,2016,2016
Kepler-1209,1,1.51,2016,2016
Kepler-1210,1,1.7,2016,2016
Kepler-1211,1,2.55,2016,2016
Kepler-1212,1,2.14,2016,2016
Kepler-1213,1,1.19,2016,2016
Kepler-1214,1,2.36,2016,2016
Kepler-1215,1,1.22,2016,2016
Kepler-1216,1,1.39,2016,2016
Kepler-1217,1,1.99,2016,2016
Kepler-1218,1,1.44,2016,2016
Kepler-1219,1,2.12,2016,2016
Kepler-1220,1,1.52,2016,2016
Kepler-1221,1,1.88,2016,2016
Kepler-1222,1,0.79,2016,2016
Kepler-1223,1,1.22,2016,2016
Kepler-1224,1,1.33,2016,2016
Kepler-1225,1,1.82,2016,2016
Kepler-1226,1,1.45,2016,2016
Kepler-1227,1,2.29,2016,2016
Kepler-1228,1,1.54,2016,2016
Kepler-1229,1,1.4,2016,2016
Kepler-1230,1,2.71,2016,2016
Kepler-1231,1,1.42,2016,2016
Kepler-1232,1,1.93,2016,2016
Kepler-1233,1,2.6,2016,2016
Kepler-1234,1,2.81,2016,2016
Kepler-1235,1,0.79,2016,2016
Kepler-1236,1,2.14,2016,2016
Kepler-1237,1,2.86,2016,2016
Kepler-1238,1,1.93,2016,2016
Kepler-1239,1,2.9,2016,2016
Kepler-1240,1,1.15,2016,2016
Kepler-1241,1,2.63,2016,2016
Kepler-1242,1,2.26,2016,2016
Kepler-1243,1,1.75,2016,2016
Kepler-1244,1,1.35,2016,2016
Kepler-1246,1,1.36,2016,2016
Kepler-1247,1,2.33,2016,2016
Kepler-1248,1,1.18,2016,2016
Kepler-1249,1,2.38,2016,2016
Kepler-1250,1,1.92,2016,2016
Kepler-1251,1,1.84,2016,2016
Kepler-1252,1,1.67,2016,2016
Kepler-1253,1,1.33,2016,2016
Kepler-1255,1,2.32,2016,2016
Kepler-1256,1,1.49,2016,2016
Kepler-1257,1,1.52,2016,2016
Kepler-1258,1,0.86,2016,2016
Kepler-1259,1,1.43,2016,2016
Kepler-1260,1,1.77,2016,2016
Kepler-1261,1,2.26,2016,2016
Kepler-1262,1,1.82,2016,2016
Kepler-1263,1,1.14,2016,2016
Kepler-1264,1,1.18,2016,2016
Kepler-1265,1,1.35,2016,2016
Kepler-1267,1,3.01,2016,2016
Kepler-1268,1,2.03,2016,2016
Kepler-1269,1,1.63,2016,2016
Kepler-1270,1,3.32,2016,2016
Kepler-1271,1,1.48,2016,2016
Kepler-1272,1,2.37,2016,2016
Kepler-1273,1,2.49,2016,2016
Kepler-1274,1,1.42,2016,2016
Kepler-1275,1,1.48,2016,2016
Kepler-1276,1,1.19,2016,2016
Kepler-1277,1,1.6,2016,2016
Kepler-1278,1,1.01,2016,2016
Kepler-1279,1,1.75,2016,2016
Kepler-1280,1,1.87,2016,2016
Kepler-1281,1,1.64,2016,2016
Kepler-1282,1,1.55,2016,2016
Kepler-1283,1,1.91,2016,2016
Kepler-1284,1,1.21,2016,2016
Kepler-1285,1,0.97,2016,2016
Kepler-1286,1,2.15,2016,2016
Kepler-1287,1,1.54,2016,2016
Kepler-1288,1,1.12,2016,2016
Kepler-1289,1,1.52,2016,2016
Kepler-1290,1,1.42,2016,2016
Kepler-1291,1,1.66,2016,2016
Kepler-1292,1,1.82,2016,2016
Kepler-1293,1,0.97,2016,2016
Kepler-1294,1,3.19,2016,2016
Kepler-1295,1,1.55,2016,2016
Kepler-1296,1,0.91,2016,2016
Kepler-1297,1,0.97,2016,2016
Kepler-1298,1,1.31,2016,2016
Kepler-1299,1,2.98,2016,2016
Kepler-1300,1,1.37,2016,2016
Kepler-1301,1,1.4,2016,2016
Kepler-1302,1,1.43,2016,2016
Kepler-1303,1,1.42,2016,2016
Kepler-1304,1,2.29,2016,2016
Kepler-1305,1,1.88,2016,2016
Kepler-1306,1,1.91,2016,2016
Kepler-1307,1,2.47,2016,2016
Kepler-1308,1,0.52,2016,2016
Kepler-1309,1,2.37,2016,2016
Kepler-1310,1,1.44,2016,2016
Kepler-1313,1,1.76,2016,2016
Kepler-1314,1,5.11,2016,2016
Kepler-1316,1,3.54,2016,2016
Kepler-1317,1,1.56,2016,2016
Kepler-1318,1,3.11,2016,2016
Kepler-1319,1,1.34,2016,2016
Kepler-1320,1,1.7,2016,2016
Kepler-1323,1,1.52,2016,2016
Kepler-1324,1,1.51,2016,2016
Kepler-1325,1,2.86,2016,2016
Kepler-1326,1,4.18,2016,2016
Kepler-1327,1,1.8,2016,2016
Kepler-1328,1,0.98,2016,2016
Kepler-1329,1,2.17,2016,2016
Kepler-1330,1,1.65,2016,2016
Kepler-1331,1,1.05,2016,2016
Kepler-1332,1,1.37,2016,2016
Kepler-1333,1,2.81,2016,2016
Kepler-1334,1,2.29,2016,2016
Kepler-1335,1,1.45,2016,2016
Kepler-1337,1,2.41,2016,2016
Kepler-1338,1,0.92,2016,2016
Kepler-1339,1,0.71,2016,2016
Kepler-1340,1,1.55,2016,2016
Kepler-1341,1,2.99,2016,2016
Kepler-1342,1,1.66,2016,2016
Kepler-1343,1,1.93,2016,2016
Kepler-1344,1,1.84,2016,2016
Kepler-1345,1,2.36,2016,2016
Kepler-1346,1,1.58,2016,2016
Kepler-1347,1,1.03,2016,2016
Kepler-1348,1,1.94,2016,2016
Kepler-1349,1,0.7,2016,2016
Kepler-1351,1,0.65,2016,2016
Kepler-1352,1,0.89,2016,2016
Kepler-1353,1,1.8,2016,2016
Kepler-1354,1,2.97,2016,2016
Kepler-1355,1,1.46,2016,2016
Kepler-1356,1,1.53,2016,2016
Kepler-1357,1,1.28,2016,2016
Kepler-1358,1,1.12,2016,2016
Kepler-1359,1,2.83,2016,2016
Kepler-1360,1,3.4,2016,2016
Kepler-1361,1,0.86,2016,2016
Kepler-1362,1,2.6,2016,2016
Kepler-1363,1,1.25,2016,2016
Kepler-1364,1,2.15,2016,2016
Kepler-1366,1,1.43,2016,2016
Kepler-1367,1,0.92,2016,2016
Kepler-1368,1,1.65,2016,2016
Kepler-1369,1,2.69,2016,2016
Kepler-1372,1,1.27,2016,2016
Kepler-1373,1,1.16,2016,2016
Kepler-1374,1,2.29,2016,2016
Kepler-1375,1,1.74,2016,2016
Kepler-1376,1,1.05,2016,2016
Kepler-1377,1,1.25,2016,2016
Kepler-1378,1,2.2,2016,2016
Kepler-1379,1,1.3,2016,2016
Kepler-1380,1,1.43,2016,2016
Kepler-1381,1,2.25,2016,2016
Kepler-1382,1,1.88,2016,2016
Kepler-1383,1,1.41,2016,2016
Kepler-1384,1,1.94,2016,2016
Kepler-1385,1,0.85,2016,2016
Kepler-1386,1,1.24,2016,2016
Kepler-1387,1,0.93,2016,2016
Kepler-1389,1,1.77,2016,2016
Kepler-1390,1,1.18,2016,2016
Kepler-1391,1,1.68,2016,2016
Kepler-1392,1,1.96,2016,2016
Kepler-1393,1,0.8,2016,2016
Kepler-1394,1,1.39,2016,2016
Kepler-1395,1,0.8,2016,2016
Kepler-1396,1,2.07,2016,2016
Kepler-1397,1,1.72,2016,2016
Kepler-1399,1,1.25,2016,2016
Kepler-14,1,12.733,2011,2011
Kepler-1400,1,1.62,2016,2016
Kepler-1401,1,1.68,2016,2016
Kepler-1402,1,0.76,2016,2016
Kepler-1403,1,2.14,2016,2016
Kepler-1404,1,2.01,2016,2016
Kepler-1405,1,3.96,2016,2016
Kepler-1406,1,1.1,2016,2016
Kepler-1407,1,2.25,2016,2016
Kepler-1408,1,0.89,2016,2016
Kepler-1409,1,1.04,2016,2016
Kepler-1410,1,1.78,2016,2016
Kepler-1411,1,2.82,2016,2016
Kepler-1412,1,0.83,2016,2016
Kepler-1413,1,1.82,2016,2016
Kepler-1414,1,1.23,2016,2016
Kepler-1415,1,1.29,2016,2016
Kepler-1416,1,0.88,2016,2016
Kepler-1417,1,1.0,2016,2016
Kepler-1418,1,1.66,2016,2016
Kepler-1419,1,2.86,2016,2016
Kepler-1420,1,1.28,2016,2016
Kepler-1421,1,0.93,2016,2016
Kepler-1422,1,2.02,2016,2016
Kepler-1423,1,1.06,2016,2016
Kepler-1424,1,1.16,2016,2016
Kepler-1425,1,0.94,2016,2016
Kepler-1426,1,1.56,2016,2016
Kepler-1427,1,1.1,2016,2016
Kepler-1428,1,1.64,2016,2016
Kepler-1429,1,1.29,2016,2016
Kepler-1430,1,1.18,2016,2016
Kepler-1431,1,1.47,2016,2016
Kepler-1432,1,2.22,2016,2016
Kepler-1433,1,1.56,2016,2016
Kepler-1434,1,1.11,2016,2016
Kepler-1435,1,0.86,2016,2016
Kepler-1436,1,1.31,2016,2016
Kepler-1437,1,1.37,2016,2016
Kepler-1438,1,0.94,2016,2016
Kepler-1439,1,1.46,2016,2016
Kepler-1440,1,1.26,2016,2016
Kepler-1441,1,1.31,2016,2016
Kepler-1442,1,3.93,2016,2016
Kepler-1443,1,0.97,2016,2016
Kepler-1444,1,2.18,2016,2016
Kepler-1445,1,0.96,2016,2016
Kepler-1446,1,0.82,2016,2016
Kepler-1447,1,2.9,2016,2016
Kepler-1448,1,1.61,2016,2016
Kepler-1449,1,1.68,2016,2016
Kepler-1450,1,1.71,2016,2016
Kepler-1451,1,3.35,2016,2016
Kepler-1452,1,2.7,2016,2016
Kepler-1453,1,2.67,2016,2016
Kepler-1454,1,1.88,2016,2016
Kepler-1455,1,2.16,2016,2016
Kepler-1456,1,1.14,2016,2016
Kepler-1457,1,1.99,2016,2016
Kepler-1458,1,2.76,2016,2016
Kepler-1459,1,1.36,2016,2016
Kepler-1460,1,1.96,2016,2016
Kepler-1461,1,2.03,2016,2016
Kepler-1462,1,3.82,2016,2016
Kepler-1463,1,1.86,2016,2016
Kepler-1465,1,1.77,2016,2016
Kepler-1466,1,1.55,2016,2016
Kepler-1467,1,3.3,2016,2016
Kepler-1469,1,2.8,2016,2016
Kepler-1470,1,1.07,2016,2016
Kepler-1472,1,1.9,2016,2016
Kepler-1473,1,1.19,2016,2016
Kepler-1474,1,2.16,2016,2016
Kepler-1475,1,2.92,2016,2016
Kepler-1476,1,1.67,2016,2016
Kepler-1477,1,1.18,2016,2016
Kepler-1478,1,1.73,2016,2016
Kepler-1479,1,1.83,2016,2016
Kepler-1480,1,1.67,2016,2016
Kepler-1481,1,1.23,2016,2016
Kepler-1482,1,1.01,2016,2016
Kepler-1483,1,1.52,2016,2016
Kepler-1484,1,2.11,2016,2016
Kepler-1485,1,1.47,2016,2016
Kepler-1486,1,2.32,2016,2016
Kepler-1490,1,3.04,2016,2016
Kepler-1492,1,1.49,2016,2016
Kepler-1493,1,1.41,2016,2016
Kepler-1494,1,3.07,2016,2016
Kepler-1495,1,2.94,2016,2016
Kepler-1496,1,2.22,2016,2016
Kepler-1497,1,1.66,2016,2016
Kepler-1498,1,1.33,2016,2016
Kepler-1499,1,1.19,2016,2016
Kepler-15,1,10.76,2011,2011
Kepler-1500,1,1.2,2016,2016
Kepler-1501,1,1.56,2016,2016
Kepler-1502,1,3.18,2016,2016
Kepler-1503,1,2.27,2016,2016
Kepler-1504,1,2.13,2016,2016
Kepler-1505,1,0.93,2016,2016
Kepler-1506,1,1.32,2016,2016
Kepler-1507,1,0.84,2016,2016
Kepler-1508,1,1.33,2016,2016
Kepler-1509,1,1.85,2016,2016
Kepler-1510,1,3.36,2016,2016
Kepler-1511,1,1.68,2016,2016
Kepler-1512,1,1.18,2016,2016
Kepler-1515,1,9.55,2016,2016
Kepler-1516,1,1.75,2016,2016
Kepler-1517,1,9.76,2016,2016
Kepler-1519,1,7.06,2016,2016
Kepler-1520,1,5.77,2016,2016
Kepler-1521,1,2.5,2016,2016
Kepler-1522,1,1.73,2016,2016
Kepler-1523,1,1.58,2016,2016
Kepler-1524,1,3.54,2016,2016
Kepler-1525,1,0.91,2016,2016
Kepler-1526,1,2.43,2016,2016
Kepler-1527,1,4.77,2016,2016
Kepler-1528,1,1.46,2016,2016
Kepler-1529,1,2.1,2016,2016
Kepler-1531,1,1.11,2016,2016
Kepler-1532,1,1.35,2016,2016
Kepler-1533,1,3.46,2016,2016
Kepler-1534,1,1.89,2016,2016
Kepler-1535,1,2.55,2016,2016
Kepler-1536,1,3.14,2016,2016
Kepler-1537,1,1.18,2016,2016
Kepler-1538,1,2.82,2016,2016
Kepler-1539,1,2.7,2016,2016
Kepler-1540,1,2.49,2016,2016
Kepler-1541,1,1.16,2016,2016
Kepler-1543,1,2.71,2016,2016
Kepler-1544,1,1.78,2016,2016
Kepler-1545,1,2.7,2016,2016
Kepler-1546,1,3.13,2016,2016
Kepler-1547,1,0.9,2016,2016
Kepler-1548,1,2.64,2016,2016
Kepler-1549,1,2.57,2016,2016
Kepler-1550,1,3.02,2016,2016
Kepler-1551,1,2.66,2016,2016
Kepler-1552,1,2.47,2016,2016
Kepler-1553,1,1.15,2016,2016
Kepler-1554,1,2.9,2016,2016
Kepler-1555,1,1.61,2016,2016
Kepler-1556,1,1.96,2016,2016
Kepler-1557,1,1.53,2016,2016
Kepler-1558,1,0.68,2016,2016
Kepler-1559,1,0.72,2016,2016
Kepler-1560,1,0.89,2016,2016
Kepler-1561,1,1.09,2016,2016
Kepler-1562,1,3.55,2016,2016
Kepler-1563,1,0.75,2016,2016
Kepler-1564,1,1.47,2016,2016
Kepler-1565,1,1.19,2016,2016
Kepler-1566,1,0.79,2016,2016
Kepler-1567,1,2.73,2016,2016
Kepler-1568,1,1.3,2016,2016
Kepler-1569,1,1.68,2016,2016
Kepler-1570,1,1.07,2016,2016
Kepler-1571,1,1.52,2016,2016
Kepler-1572,1,0.94,2016,2016
Kepler-1573,1,1.2,2016,2016
Kepler-1574,1,1.29,2016,2016
Kepler-1575,1,1.31,2016,2016
Kepler-1576,1,1.04,2016,2016
Kepler-1577,1,1.13,2016,2016
Kepler-1578,1,1.04,2016,2016
Kepler-1579,1,0.84,2016,2016
Kepler-1580,1,2.11,2016,2016
Kepler-1581,1,0.8,2016,2016
Kepler-1582,1,1.49,2016,2016
Kepler-1583,1,0.6,2016,2016
Kepler-1584,1,1.61,2016,2016
Kepler-1585,1,1.79,2016,2016
Kepler-1586,1,1.52,2016,2016
Kepler-1587,1,1.33,2016,2016
Kepler-1588,1,0.76,2016,2016
Kepler-1589,1,1.09,2016,2016
Kepler-1590,1,1.14,2016,2016
Kepler-1591,1,1.27,2016,2016
Kepler-1592,1,1.54,2016,2016
Kepler-1593,1,3.17,2016,2016
Kepler-1594,1,1.06,2016,2016
Kepler-1595,1,1.23,2016,2016
Kepler-1596,1,1.9,2016,2016
Kepler-1597,1,1.06,2016,2016
Kepler-1598,1,0.95,2016,2016
Kepler-1599,1,1.62,2016,2016
Kepler-16,1,8.449,2011,2011
Kepler-1601,1,0.82,2016,2016
Kepler-1602,1,1.34,2016,2016
Kepler-1603,1,1.29,2016,2016
Kepler-1604,1,1.41,2016,2016
Kepler-1605,1,1.08,2016,2016
Kepler-1606,1,2.07,2016,2016
Kepler-1607,1,0.92,2016,2016
Kepler-1608,1,1.73,2016,2016
Kepler-1609,1,2.22,2016,2016
Kepler-1611,1,0.81,2016,2016
Kepler-1612,1,1.03,2016,2016
Kepler-1613,1,2.08,2016,2016
Kepler-1614,1,1.49,2016,2016
Kepler-1615,1,2.06,2016,2016
Kepler-1616,1,1.02,2016,2016
Kepler-1617,1,1.2,2016,2016
Kepler-1618,1,1.26,2016,2016
Kepler-1619,1,0.76,2016,2016
Kepler-1620,1,1.61,2016,2016
Kepler-1621,1,2.16,2016,2016
Kepler-1622,1,1.47,2016,2016
Kepler-1623,1,1.31,2016,2016
Kepler-1624,1,5.7,2016,2016
Kepler-1625,1,6.06,2016,2016
Kepler-1626,1,2.02,2016,2016
Kepler-1627,1,3.69,2016,2016
Kepler-1628,1,6.43,2016,2016
Kepler-1629,1,0.77,2016,2016
Kepler-1630,1,2.19,2016,2016
Kepler-1631,1,1.35,2016,2016
Kepler-1632,1,2.47,2016,2016
Kepler-1633,1,1.58,2016,2016
Kepler-1634,1,3.19,2016,2016
Kepler-1635,1,3.64,2016,2016
Kepler-1636,1,3.23,2016,2016
Kepler-1637,1,0.89,2016,2016
Kepler-1638,1,1.87,2016,2016
Kepler-1639,1,2.58,2016,2016
Kepler-1640,1,4.82,2016,2016
Kepler-1643,1,2.32,2016,2016
Kepler-1644,1,1.88,2016,2016
Kepler-1645,1,1.78,2016,2016
Kepler-1646,1,1.23,2016,2016
Kepler-1647,1,11.874,2016,2016
Kepler-1650,1,0.96,2017,2017
Kepler-1651,1,1.84,2017,2017
Kepler-1652,1,1.6,2017,2017
Kepler-1653,1,2.17,2017,2017
Kepler-1654,1,9.18,2018,2018
Kepler-1655,1,2.213,2018,2018
Kepler-1660 A,1,12.9,2023,2023
Kepler-1661,1,3.87,2020,2020
Kepler-1663,1,3.304,2020,2020
Kepler-1664,1,3.033,2020,2020
Kepler-1665,1,2.839,2020,2020
Kepler-1667,1,2.984,2020,2020
Kepler-1668,1,4.348,2020,2020
Kepler-1670,1,3.356,2020,2020
Kepler-1671,1,1.326,2020,2020
Kepler-1672,1,2.97,2020,2020
Kepler-1673,1,2.936,2020,2020
Kepler-1674,1,3.206,2020,2020
Kepler-1675,1,3.125,2020,2020
Kepler-1676,1,3.377,2020,2020
Kepler-1677,1,2.702,2020,2020
Kepler-1678,1,3.304,2020,2020
Kepler-1679,1,2.069,2020,2020
Kepler-1680,1,1.36,2020,2020
Kepler-1681,1,2.553,2020,2020
Kepler-1682,1,2.889,2020,2020
Kepler-1683,1,1.875,2020,2020
Kepler-1684,1,2.871,2020,2020
Kepler-1685,1,2.577,2020,2020
Kepler-1686,1,1.426,2020,2020
Kepler-1687,1,1.656,2020,2020
Kepler-1688,1,1.262,2020,2020
Kepler-1689,1,0.947,2020,2020
Kepler-1690,1,2.811,2020,2020
Kepler-1691,1,1.835,2020,2020
Kepler-1692,1,1.112,2020,2020
Kepler-1694,1,1.18,2020,2020
Kepler-1695,1,1.119,2020,2020
Kepler-1696,1,2.81,2020,2020
Kepler-1697,1,1.26,2020,2020
Kepler-1698,1,1.073,2020,2020
Kepler-1699,1,1.567,2020,2020
Kepler-17,1,14.68,2011,2011
Kepler-1700,1,2.901,2020,2020
Kepler-1701,1,2.222,2020,2020
Kepler-1702,1,1.602,2020,2020
Kepler-1704,1,11.949,2013,2013
Kepler-1708,1,9.96,2021,2021
Kepler-1709,1,3.124,2021,2021
Kepler-1710,1,3.197,2021,2021
Kepler-1711,1,1.923,2021,2021
Kepler-1712,1,2.284,2021,2021
Kepler-1713,1,1.717,2021,2021
Kepler-1714,1,3.264,2021,2021
Kepler-1715,1,4.14,2021,2021
Kepler-1716,1,2.425,2021,2021
Kepler-1717,1,2.989,2021,2021
Kepler-1718,1,2.569,2021,2021
Kepler-1719,1,3.95,2021,2021
Kepler-1720,1,3.216,2021,2021
Kepler-1721,1,3.119,2021,2021
Kepler-1722,1,2.867,2021,2021
Kepler-1723,1,2.88,2021,2021
Kepler-1724,1,2.837,2021,2021
Kepler-1725,1,2.813,2021,2021
Kepler-1726,1,2.509,2021,2021
Kepler-1727,1,3.173,2021,2021
Kepler-1728,1,2.955,2021,2021
Kepler-1729,1,3.894,2021,2021
Kepler-1730,1,4.485,2021,2021
Kepler-1731,1,2.933,2021,2021
Kepler-1732,1,4.099,2021,2021
Kepler-1733,1,3.636,2021,2021
Kepler-1734,1,3.089,2021,2021
Kepler-1735,1,1.194,2021,2021
Kepler-1736,1,3.877,2021,2021
Kepler-1737,1,5.395,2021,2021
Kepler-1738,1,2.825,2021,2021
Kepler-1739,1,2.431,2021,2021
Kepler-1740,1,3.323,2021,2021
Kepler-1741,1,1.273,2021,2021
Kepler-1742,1,2.178,2021,2021
Kepler-1743,1,1.599,2021,2021
Kepler-1744,1,3.768,2021,2021
Kepler-1745,1,1.929,2021,2021
Kepler-1746,1,8.935,2021,2021
Kepler-1747,1,4.265,2021,2021
Kepler-1748,1,2.713,2021,2021
Kepler-1749,1,1.613,2021,2021
Kepler-1750,1,6.004,2021,2021
Kepler-1751,1,1.824,2021,2021
Kepler-1752,1,4.541,2021,2021
Kepler-1753,1,2.227,2021,2021
Kepler-1754,1,2.44,2021,2021
Kepler-1755,1,5.917,2021,2021
Kepler-1756,1,1.472,2021,2021
Kepler-1757,1,2.947,2021,2021
Kepler-1758,1,2.571,2021,2021
Kepler-1759,1,0.904,2021,2021
Kepler-1760,1,2.29,2021,2021
Kepler-1761,1,1.391,2021,2021
Kepler-1762,1,2.76,2021,2021
Kepler-1763,1,1.147,2021,2021
Kepler-1764,1,4.555,2021,2021
Kepler-1765,1,2.495,2021,2021
Kepler-1766,1,2.279,2021,2021
Kepler-1767,1,3.013,2021,2021
Kepler-1768,1,2.233,2021,2021
Kepler-1769,1,4.465,2021,2021
Kepler-1770,1,2.841,2021,2021
Kepler-1771,1,4.055,2021,2021
Kepler-1772,1,2.686,2021,2021
Kepler-1773,1,3.505,2021,2021
Kepler-1774,1,3.182,2021,2021
Kepler-1775,1,3.648,2021,2021
Kepler-1776,1,2.612,2021,2021
Kepler-1777,1,2.132,2021,2021
Kepler-1778,1,3.017,2021,2021
Kepler-1779,1,3.033,2021,2021
Kepler-1780,1,3.606,2021,2021
Kepler-1781,1,2.381,2021,2021
Kepler-1782,1,2.229,2021,2021
Kepler-1783,1,1.319,2021,2021
Kepler-1784,1,2.799,2021,2021
Kepler-1785,1,2.704,2021,2021
Kepler-1786,1,3.163,2021,2021
Kepler-1787,1,2.319,2021,2021
Kepler-1788,1,2.379,2021,2021
Kepler-1789,1,2.831,2021,2021
Kepler-1790,1,3.145,2021,2021
Kepler-1791,1,3.121,2021,2021
Kepler-1792,1,2.52,2021,2021
Kepler-1793,1,3.79,2021,2021
Kepler-1794,1,1.794,2021,2021
Kepler-1795,1,1.663,2021,2021
Kepler-1796,1,2.75,2021,2021
Kepler-1797,1,3.058,2021,2021
Kepler-1798,1,2.309,2021,2021
Kepler-1799,1,4.128,2021,2021
Kepler-1800,1,0.997,2021,2021
Kepler-1804,1,1.596,2021,2021
Kepler-1805,1,1.545,2021,2021
Kepler-1806,1,2.356,2021,2021
Kepler-1807,1,2.704,2021,2021
Kepler-1808,1,3.025,2021,2021
Kepler-1809,1,1.513,2021,2021
Kepler-1810,1,3.918,2021,2021
Kepler-1811,1,3.848,2021,2021
Kepler-1812,1,2.325,2021,2021
Kepler-1813,1,1.413,2021,2021
Kepler-1815,1,2.749,2021,2021
Kepler-1816,1,1.968,2021,2021
Kepler-1817,1,2.273,2021,2021
Kepler-1818,1,1.714,2021,2021
Kepler-1819,1,3.904,2021,2021
Kepler-1820,1,3.119,2021,2021
Kepler-1821,1,2.592,2021,2021
Kepler-1822,1,2.648,2021,2021
Kepler-1823,1,2.086,2021,2021
Kepler-1824,1,2.381,2021,2021
Kepler-1825,1,1.422,2021,2021
Kepler-1826,1,1.475,2021,2021
Kepler-1827,1,1.856,2021,2021
Kepler-1828,1,2.116,2021,2021
Kepler-1829,1,2.479,2021,2021
Kepler-1830,1,3.33,2021,2021
Kepler-1831,1,1.97,2021,2021
Kepler-1832,1,1.227,2021,2021
Kepler-1833,1,1.3,2021,2021
Kepler-1835,1,3.534,2021,2021
Kepler-1836,1,2.553,2021,2021
Kepler-1837,1,2.067,2021,2021
Kepler-1838,1,1.66,2021,2021
Kepler-1839,1,1.949,2021,2021
Kepler-1840,1,2.778,2021,2021
Kepler-1841,1,1.489,2021,2021
Kepler-1842,1,2.354,2021,2021
