disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,epic 201497682,1,0.692,0.26
2010s,epic 201841433,1,1.04,1.12
2010s,epic 206024342,1,1.7,3.53
2010s,epic 206032309,1,1.01,1.01
2010s,epic 206042996,1,1.7,3.53
2010s,epic 206215704,1,1.0,0.972
2010s,epic 206317286,1,0.96,0.84
2010s,epic 211822797,1,1.92,4.35
2010s,epic 211945201,1,5.76,11.0
2010s,epic 212297394,1,1.48,2.79
2010s,epic 212424622,1,2.17,5.35
2010s,epic 212499991,1,1.6,3.19
2010s,epic 212587672,1,1.26,2.13
2010s,epic 246851721,1,11.781,953.49
2010s,epic 248847494,1,12.442,4131.79
2010s,eps crb,1,12.7,2129.461
2010s,eps ind a,1,12.7,2005.497
2010s,g 9-40,1,1.9,4.0
2010s,gj 1265,1,2.63,7.4
2010s,gj 160.2,1,3.17,10.2
2010s,gj 229,1,3.97,14.938
2010s,gj 27.1,1,3.66,13.0
2010s,gj 317,1,13.6,454.495
2010s,gj 328,1,13.3,797.749
2010s,gj 3341,1,2.46,6.6
2010s,gj 3470,1,4.57,13.9
2010s,gj 3512,1,14.3,146.519
2010s,gj 3634,1,2.83,8.4
2010s,gj 3779,1,2.75,8.0
2010s,gj 3942,1,2.57,7.14
2010s,gj 411,1,1.45,2.69
2010s,gj 422,1,3.33,11.07
2010s,gj 4276,1,4.22,16.57
2010s,gj 504,1,12.106,1271.3
2010s,gj 536,1,2.41,6.37
2010s,gj 625,1,1.49,2.82
2010s,gj 685,1,2.95,9.0
2010s,gj 687,1,4.32,17.2
2010s,gj 849,1,13.8,314.65
2010s,gj 876,1,3.92,14.6
2010s,gj 96,1,4.67,19.66
2010s,gl 378,1,3.66,13.02
2010s,gl 49,1,2.24,5.63
2010s,gl 686,1,2.46,6.624
2010s,gsc 06214-00210,1,20.176,5000.0
2010s,gu psc,1,14.179,3591.3
2010s,hat-p-11,1,13.2,851.78
2010s,hat-p-14,1,15.917,1093.335
2010s,hat-p-15,1,11.882,616.59
2010s,hat-p-16,1,14.684,1341.56
2010s,hat-p-18,1,11.153,62.61
2010s,hat-p-19,1,11.299,88.038
2010s,hat-p-20,1,9.718,2302.899
2010s,hat-p-21,1,12.442,1547.832
2010s,hat-p-22,1,12.89,785.04
2010s,hat-p-23,1,15.334,664.237
2010s,hat-p-24,1,14.572,238.373
2010s,hat-p-25,1,12.722,180.845
2010s,hat-p-26,1,7.062,22.248
2010s,hat-p-27,1,11.43,197.05
2010s,hat-p-28,1,13.585,198.953
2010s,hat-p-29,1,13.115,279.69
2010s,hat-p-30,1,16.141,263.799
2010s,hat-p-31,1,12.218,721.474
2010s,hat-p-32,1,22.194,216.124
2010s,hat-p-33,1,20.737,292.404
2010s,hat-p-34,1,13.417,1058.374
2010s,hat-p-35,1,14.93,335.628
2010s,hat-p-36,1,14.314,587.413
2010s,hat-p-37,1,13.204,371.528
2010s,hat-p-38,1,9.247,84.857
2010s,hat-p-39,1,17.609,190.372
2010s,hat-p-40,1,17.038,152.558
2010s,hat-p-41,1,22.978,378.218
2010s,hat-p-42,1,14.348,331.801
2010s,hat-p-43,1,13.63,210.395
2010s,hat-p-45,1,15.984,283.492
2010s,hat-p-46,1,14.392,156.684
2010s,hat-p-49,1,17.822,699.226
2010s,hat-p-50,1,14.437,429.071
2010s,hat-p-51,1,13.507,97.573
2010s,hat-p-52,1,11.31,259.985
2010s,hat-p-53,1,14.773,471.66
2010s,hat-p-54,1,10.581,241.551
2010s,hat-p-55,1,14.841,189.426
2010s,hat-p-56,1,16.926,734.187
2010s,hat-p-57,1,19.504,448.14
2010s,hat-p-65,1,18.058,176.077
2010s,hat-p-66,1,17.822,248.861
2010s,hat-p-67,1,23.371,108.062
2010s,hat-p-69,1,18.786,1137.831
2010s,hat-p-70,1,20.961,2154.887
2010s,hats-1,1,14.594,589.55
2010s,hats-10,1,10.862,167.179
2010s,hats-11,1,18.03,263.799
2010s,hats-12,1,7.76,759.614
2010s,hats-13,1,13.585,172.582
2010s,hats-14,1,11.646,340.396
2010s,hats-15,1,12.386,689.691
2010s,hats-16,1,14.572,1039.304
2010s,hats-17,1,8.709,425.257
2010s,hats-18,1,14.897,629.144
2010s,hats-2,1,12.576,435.425
2010s,hats-22,1,10.682,870.854
2010s,hats-23,1,20.849,467.21
2010s,hats-24,1,15.637,718.296
2010s,hats-25,1,14.123,194.83
2010s,hats-26,1,19.616,206.59
2010s,hats-27,1,16.814,168.45
2010s,hats-28,1,13.384,213.582
2010s,hats-29,1,14.022,207.543
2010s,hats-3,1,15.48,340.382
2010s,hats-30,1,13.171,224.388
2010s,hats-31,1,18.383,279.69
2010s,hats-32,1,14.0,292.404
2010s,hats-33,1,13.787,378.853
2010s,hats-34,1,16.029,299.078
2010s,hats-35,1,16.41,388.388
2010s,hats-36,1,12.92,1022.141
2010s,hats-39,1,17.598,200.233
2010s,hats-4,1,11.433,420.471
2010s,hats-40,1,17.71,505.35
2010s,hats-41,1,14.908,3082.951
2010s,hats-42,1,15.693,597.52
2010s,hats-43,1,13.227,82.954
2010s,hats-44,1,11.96,177.985
2010s,hats-45,1,14.415,222.481
2010s,hats-46,1,10.122,54.985
2010s,hats-5,1,10.223,75.323
2010s,hats-50,1,12.666,123.954
2010s,hats-51,1,15.805,244.093
2010s,hats-52,1,15.491,711.939
2010s,hats-53,1,15.02,189.109
2010s,hats-54,1,11.377,239.325
2010s,hats-55,1,14.022,292.721
2010s,hats-56,1,18.921,191.334
2010s,hats-57,1,12.767,1000.211
2010s,hats-58 a,1,12.274,327.365
2010s,hats-6,1,11.187,101.388
2010s,hats-60,1,12.924,210.403
2010s,hats-61,1,13.395,1080.622
2010s,hats-62,1,11.825,56.892
2010s,hats-63,1,13.529,305.117
2010s,hats-64,1,18.82,305.117
2010s,hats-65,1,16.825,260.938
2010s,hats-66,1,15.816,1694.034
2010s,hats-67,1,18.887,460.854
2010s,hats-68,1,13.809,410.001
2010s,hats-69,1,10.593,183.388
2010s,hats-7,1,6.311,38.14
2010s,hats-70,1,15.513,4100.007
2010s,hats-8,1,9.785,43.861
2010s,hats-9,1,13.85,266.024
2010s,hd 100546,1,77.342,2701.541
2010s,hd 100655,1,13.5,511.706
2010s,hd 102365,1,4.14,16.0
2010s,hd 102843,1,13.1,113.9
2010s,hd 102956,1,13.8,305.117
2010s,hd 103720,1,14.1,197.046
2010s,hd 103774,1,13.3,116.0
2010s,hd 103949,1,3.35,11.2
2010s,hd 10442,1,13.6,472.613
2010s,hd 106270,1,12.4,3623.244
2010s,hd 106515 a,1,12.1,6006.957
2010s,hd 106906,1,12.4,3496.0
2010s,hd 108341,1,13.3,715.114
2010s,hd 108863,1,13.3,767.242
2010s,hd 109246,1,13.9,273.334
2010s,hd 111591,1,12.9,1398.452
2010s,hd 111998,1,12.9,1525.576
2010s,hd 113337,1,13.1,1035.803
2010s,hd 113996,1,12.7,2002.329
2010s,hd 114783,1,13.4,603.874
2010s,hd 11755,1,12.8,1789.383
2010s,hd 120084,1,12.7,2034.102
2010s,hd 12484,1,13.2,947.133
2010s,hd 125390,1,11.9,8646.204
2010s,hd 12648,1,13.4,622.947
2010s,hd 126525,1,10.3,75.326
2010s,hd 128356,1,13.9,282.869
2010s,hd 131496,1,13.4,572.094
2010s,hd 13167,1,13.1,1052.017
2010s,hd 132563,1,13.6,473.547
2010s,hd 133131 b,1,13.3,794.575
2010s,hd 137388,1,9.32,63.566
2010s,hd 1397,1,11.5,131.899
2010s,hd 14067,1,12.2,4862.775
2010s,hd 142,1,12.4,3464.647
2010s,hd 142245,1,13.1,975.738
2010s,hd 143105,1,13.7,384.574
2010s,hd 145457,1,13.2,888.013
2010s,hd 145934,1,13.4,658.54
2010s,hd 147379,1,4.94,21.6
2010s,hd 14787,1,13.7,356.287
2010s,hd 1502,1,13.2,874.033
2010s,hd 150706,1,13.3,772.323
2010s,hd 152581,1,13.4,594.024
2010s,hd 154857,1,13.2,819.97
2010s,hd 156668,1,1.87,4.15
2010s,hd 158038,1,13.5,486.28
2010s,hd 158996,1,12.3,4449.62
2010s,hd 159868,1,14.0,244.093
2010s,hd 164509,1,14.3,140.799
2010s,hd 164595,1,4.16,16.14
2010s,hd 164922,1,3.66,13.0
2010s,hd 165155,1,13.2,918.529
2010s,hd 1666,1,12.7,2040.0
2010s,hd 166724,1,13.0,1207.748
2010s,hd 1690,1,12.5,2793.726
2010s,hd 175607,1,,2456.178
2010s,hd 17674,1,13.9,276.512
2010s,hd 177565,1,4.0,15.1
2010s,hd 177830,1,7.87,47.673
2010s,hd 180053,1,13.3,697.319
2010s,hd 18015,1,13.1,1048.834
2010s,hd 180314,1,12.0,7216.93
2010s,hd 180617,1,3.53,12.214
2010s,hd 181234,1,12.5,2980.913
2010s,hd 18742,1,13.1,1080.622
2010s,hd 191806,1,12.5,2966.61
2010s,hd 196067,1,12.4,3623.244
2010s,hd 197037,1,13.9,251.0
2010s,hd 202772 a,1,17.318,323.233
2010s,hd 204941,1,10.1,73.101
2010s,hd 206255,1,6.47,34.2
2010s,hd 208527,1,12.5,3146.4
2010s,hd 208897,1,13.7,379.487
2010s,hd 210193,1,14.3,153.1
2010s,hd 211810,1,14.0,212.946
2010s,hd 211970,1,3.66,13.0
2010s,hd 21411,1,9.52,65.9
2010s,hd 214823,1,12.1,5914.787
2010s,hd 216536,1,13.8,333.722
2010s,hd 217786,1,12.3,4402.559
2010s,hd 218566,1,9.32,63.566
2010s,hd 219077,1,12.5,3057.509
2010s,hd 219415,1,13.8,317.83
2010s,hd 219666,1,4.898,17.6
2010s,hd 219828,1,12.2,5102.417
2010s,hd 220074,1,12.2,5288.691
2010s,hd 220197,1,9.32,63.566
2010s,hd 220689,1,13.7,381.394
2010s,hd 220773,1,13.6,460.8
2010s,hd 220842,1,13.1,1010.699
2010s,hd 221416,1,9.17,60.5
2010s,hd 221420,1,12.0,7278.271
2010s,hd 221585,1,13.5,511.706
2010s,hd 222076,1,13.5,495.815
2010s,hd 222155,1,13.4,581.626
2010s,hd 224538,1,12.7,2075.737
2010s,hd 22781,1,12.3,4338.2
2010s,hd 233604,1,12.7,2089.644
2010s,hd 233832,1,13.5,565.737
2010s,hd 238914,1,12.8,1906.98
2010s,hd 240237,1,12.2,5050.319
2010s,hd 24064,1,12.3,4096.829
2010s,hd 24085,1,3.46,11.8
2010s,hd 25015,1,12.5,2884.928
2010s,hd 25171,1,13.9,290.814
2010s,hd 2685,1,16.141,371.861
2010s,hd 27631,1,13.5,495.812
2010s,hd 28254,1,13.0,1207.748
2010s,hd 284149 a,1,12.0,8352.531
2010s,hd 285507,1,13.8,311.473
2010s,hd 28678,1,13.5,490.094
2010s,hd 29021,1,12.9,1420.693
2010s,hd 2952,1,13.9,284.774
2010s,hd 30177,1,12.7,1954.645
2010s,hd 30669,1,14.3,149.37
2010s,hd 30856,1,13.5,491.683
2010s,hd 31253,1,14.1,197.055
2010s,hd 32963,1,13.4,657.905
2010s,hd 35759,1,13.0,1195.041
2010s,hd 37605,1,13.1,1013.878
2010s,hd 38283,1,14.0,127.132
2010s,hd 39091,1,2.019,3.63
2010s,hd 39855,1,2.85,8.5
2010s,hd 40956,1,13.2,858.141
2010s,hd 42012,1,13.5,508.528
2010s,hd 4203,1,13.3,689.66
2010s,hd 42618,1,3.89,14.4
2010s,hd 43197,1,14.2,175.759
2010s,hd 44219,1,14.1,184.34
2010s,hd 4917,1,13.5,513.295
2010s,hd 50499,1,13.2,931.242
2010s,hd 5319,1,13.8,334.675
2010s,hd 55696,1,12.9,1357.127
2010s,hd 5583,1,12.8,1837.057
2010s,hd 5608,1,13.7,371.224
2010s,hd 564,1,12.5,104.88
2010s,hd 5891,1,12.6,2425.043
2010s,hd 59686 a,1,12.7,2199.384
2010s,hd 64114,1,4.41,17.8
2010s,hd 65216,1,13.4,645.195
2010s,hd 66141,1,12.8,1906.9
2010s,hd 68402,1,12.6,2510.844
2010s,hd 7199,1,,3639.135
2010s,hd 72490,1,13.5,561.923
2010s,hd 72892,1,12.8,1737.886
2010s,hd 7449,1,12.6,2597.929
2010s,hd 76920,1,13.1,994.803
2010s,hd 77338,1,4.12,15.9
2010s,hd 79498,1,13.6,425.892
2010s,hd 82886,1,13.3,740.544
2010s,hd 8326,1,9.58,66.6
2010s,hd 8535,1,14.0,216.124
2010s,hd 86950,1,13.0,1144.188
2010s,hd 87646,1,12.4,3941.092
2010s,hd 89345,1,7.398,34.961
2010s,hd 9174,1,13.7,352.791
2010s,hd 92788,1,13.0,1166.436
2010s,hd 94834,1,13.7,400.466
2010s,hd 95086,1,12.9,1589.0
2010s,hd 95089,1,13.1,1096.514
2010s,hd 95127,1,12.4,3378.533
2010s,hd 95872,1,13.0,1188.684
2010s,hd 96063,1,13.7,403.644
2010s,hd 96127,1,12.1,6661.717
2010s,hd 97048,1,13.3,794.575
2010s,hd 97658,1,2.12,8.3
2010s,hd 98219,1,13.4,624.218
2010s,hd 98649,1,12.5,3082.936
2010s,hd 98736,1,13.3,740.544
2010s,hip 105854,1,12.6,2606.1
2010s,hip 107773,1,13.4,629.303
2010s,hip 109384,1,13.5,495.815
2010s,hip 109600,1,13.2,851.784
2010s,hip 116454,1,2.469,9.7
2010s,hip 12961,1,13.2,114.419
2010s,hip 35173,1,3.61,12.7
2010s,hip 5158,1,12.2,4780.163
2010s,hip 63242,1,12.5,2917.56
2010s,hip 65426,1,16.814,2860.47
2010s,hip 65891,1,12.8,1871.374
2010s,hip 67537,1,12.3,4309.118
2010s,hip 71135,1,4.55,18.8
2010s,hip 74890,1,13.3,762.792
2010s,hip 78530,1,12.0,7300.0
2010s,hip 79098 ab,1,12.1,6515.515
2010s,hip 8541,1,12.6,2451.728
2010s,hip 91258,1,13.7,346.435
2010s,hip 97233,1,12.1,6098.174
2010s,hr 2562,1,12.442,4195.335
2010s,hr 5183,1,13.1,1052.012
2010s,hr 8799,1,13.115,3178.3
2010s,ic 4651 9122,1,12.7,2002.329
2010s,k2-10,1,3.773,25.2
2010s,k2-100,1,3.88,21.8
2010s,k2-101,1,2.0,4.66
2010s,k2-102,1,1.3,2.24
2010s,k2-104,1,1.79,3.86
2010s,k2-105,1,3.4,15.4
2010s,k2-107,1,15.98,266.977
2010s,k2-108,1,5.33,59.4
2010s,k2-11,1,7.55,44.4
2010s,k2-110,1,2.592,15.9
2010s,k2-111,1,1.82,5.58
2010s,k2-113,1,12.14,410.001
2010s,k2-114,1,10.592,638.835
2010s,k2-115,1,11.803,321.007
2010s,k2-116,1,0.69,0.257
2010s,k2-118,1,2.54,6.99
2010s,k2-119,1,2.53,6.94
2010s,k2-12,1,2.44,5.2
2010s,k2-121,1,7.16,51.0
2010s,k2-122,1,1.16,1.65
2010s,k2-123,1,2.76,8.05
2010s,k2-124,1,2.9,8.75
2010s,k2-125,1,2.18,5.39
2010s,k2-126,1,1.97,4.54
2010s,k2-127,1,8.37,52.9
2010s,k2-128,1,1.42,2.6
2010s,k2-129,1,1.04,1.12
2010s,k2-13,1,1.89,4.23
2010s,k2-130,1,1.25,2.1
2010s,k2-131,1,1.69,7.9
2010s,k2-132,1,14.572,155.737
2010s,k2-137,1,0.64,158.915
2010s,k2-139,1,9.11,123.0
2010s,k2-14,1,4.81,20.7
2010s,k2-140,1,13.563,295.58
2010s,k2-147,1,1.473,2.77
2010s,k2-149,1,1.64,3.33
2010s,k2-15,1,2.48,6.71
2010s,k2-150,1,2.0,4.66
2010s,k2-151,1,1.49,2.83
2010s,k2-152,1,2.29,5.86
2010s,k2-153,1,2.0,4.66
2010s,k2-156,1,1.1,1.37
2010s,k2-157,1,0.935,1.14
2010s,k2-159,1,2.26,5.73
2010s,k2-160,1,3.178,10.2
2010s,k2-161,1,6.117,31.1
2010s,k2-162,1,1.44,2.67
2010s,k2-163,1,2.466,6.65
2010s,k2-164,1,3.249,10.6
2010s,k2-167,1,2.365,6.5
2010s,k2-169,1,1.273,2.16
2010s,k2-17,1,2.23,5.6
2010s,k2-171,1,2.687,7.69
2010s,k2-173,1,1.608,3.22
2010s,k2-174,1,2.6,7.27
2010s,k2-175,1,2.038,4.81
2010s,k2-176,1,1.491,2.83
2010s,k2-177,1,2.116,5.13
2010s,k2-178,1,3.558,12.4
2010s,k2-179,1,2.513,6.86
2010s,k2-180,1,2.466,11.41
2010s,k2-181,1,2.69,7.7
2010s,k2-182,1,2.713,20.977
2010s,k2-184,1,1.47,2.76
2010s,k2-186,1,3.172,10.2
2010s,k2-191,1,1.579,3.12
2010s,k2-192,1,1.52,2.92
2010s,k2-193,1,3.95,14.8
2010s,k2-194,1,3.642,12.9
2010s,k2-196,1,3.6,12.6
2010s,k2-197,1,2.56,7.08
2010s,k2-200,1,1.364,2.43
2010s,k2-202,1,2.302,5.91
2010s,k2-203,1,1.265,2.14
2010s,k2-204,1,3.172,10.2
2010s,k2-205,1,1.996,4.64
2010s,k2-206,1,2.795,8.22
2010s,k2-207,1,2.606,7.3
2010s,k2-208,1,1.675,3.45
2010s,k2-209,1,0.869,0.586
2010s,k2-210,1,0.86,0.566
2010s,k2-211,1,1.332,2.33
2010s,k2-212,1,2.65,7.51
2010s,k2-213,1,1.514,2.9
2010s,k2-214,1,2.51,6.85
2010s,k2-215,1,2.124,5.16
2010s,k2-216,1,1.75,8.0
2010s,k2-217,1,3.579,12.5
2010s,k2-218,1,2.569,7.13
2010s,k2-22,1,2.3,444.962
2010s,k2-220,1,2.37,6.21
2010s,k2-221,1,1.679,3.46
2010s,k2-222,1,2.35,8.7
2010s,k2-225,1,3.609,12.7
2010s,k2-226,1,1.539,2.98
2010s,k2-227,1,1.666,3.41
2010s,k2-228,1,1.21,1.92
2010s,k2-230,1,1.96,4.5
2010s,k2-231,1,2.5,6.8
2010s,k2-232,1,11.209,126.496
2010s,k2-237,1,16.062,434.154
2010s,k2-238,1,14.572,273.334
2010s,k2-241,1,2.55,7.04
2010s,k2-242,1,2.54,6.99
2010s,k2-244,1,1.75,3.71
2010s,k2-245,1,4.34,17.4
2010s,k2-246,1,3.49,12.0
2010s,k2-248,1,2.57,7.13
2010s,k2-249,1,2.79,8.2
2010s,k2-25,1,3.44,24.5
2010s,k2-250,1,2.713,7.81
2010s,k2-251,1,2.35,6.12
2010s,k2-252,1,1.74,3.68
2010s,k2-253,1,12.67,
2010s,k2-255,1,2.9,8.75
2010s,k2-257,1,0.83,0.498
2010s,k2-258,1,3.0,9.27
2010s,k2-259,1,2.32,5.99
2010s,k2-26,1,2.67,7.61
2010s,k2-260,1,18.416,546.665
2010s,k2-261,1,9.27,68.969
2010s,k2-263,1,2.41,14.9
2010s,k2-265,1,1.708,7.342
2010s,k2-269,1,1.57,3.09
2010s,k2-27,1,4.74,30.2
2010s,k2-271,1,7.28,41.8
2010s,k2-272,1,3.13,9.96
2010s,k2-273,1,3.05,9.53
2010s,k2-274,1,2.08,4.98
2010s,k2-276,1,3.77,13.7
2010s,k2-277,1,2.186,7.4
2010s,k2-278,1,2.98,9.17
2010s,k2-279,1,1.21,1.92
2010s,k2-28,1,2.32,5.99
2010s,k2-280,1,7.5,37.1
2010s,k2-281,1,8.18,50.9
2010s,k2-283,1,3.52,12.2
2010s,k2-284,1,2.78,8.15
2010s,k2-286,1,2.1,5.06
2010s,k2-287,1,9.494,100.116
2010s,k2-288 b,1,1.9,4.27
2010s,k2-289,1,9.1,61.0
2010s,k2-29,1,13.339,232.016
2010s,k2-291,1,1.589,6.49
2010s,k2-292,1,2.63,24.5
2010s,k2-293,1,2.45,6.57
2010s,k2-294,1,1.66,3.39
2010s,k2-295,1,10.054,106.473
2010s,k2-30,1,11.646,184.024
2010s,k2-308,1,9.916,70.6
2010s,k2-31,1,11.882,563.83
2010s,k2-33,1,5.04,1175.971
2010s,k2-34,1,13.75,539.675
2010s,k2-350,1,2.74,7.95
2010s,k2-39,1,6.277,28.605
2010s,k2-4,1,2.1,5.06
2010s,k2-42,1,2.15,5.27
2010s,k2-44,1,2.433,6.5
2010s,k2-45,1,6.71,36.4
2010s,k2-46,1,2.05,4.86
2010s,k2-47,1,1.89,4.23
2010s,k2-48,1,2.24,5.65
2010s,k2-49,1,1.93,4.38
2010s,k2-52,1,18.0,
2010s,k2-53,1,2.6,7.27
2010s,k2-54,1,2.612,7.33
2010s,k2-55,1,4.43,44.0
2010s,k2-57,1,2.309,5.94
2010s,k2-6,1,2.5,6.8
2010s,k2-60,1,7.656,135.396
2010s,k2-61,1,1.92,4.35
2010s,k2-64,1,2.07,4.94
2010s,k2-65,1,1.58,3.12
2010s,k2-66,1,2.49,21.3
2010s,k2-68,1,1.58,3.12
2010s,k2-69,1,2.32,5.99
2010s,k2-7,1,4.035,15.3
2010s,k2-70,1,2.89,8.7
2010s,k2-71,1,2.15,5.27
2010s,k2-73,1,2.58,9.2
2010s,k2-74,1,2.31,5.95
2010s,k2-77,1,2.5,603.877
2010s,k2-79,1,4.09,9.2
2010s,k2-81,1,1.97,4.54
2010s,k2-85,1,1.4,3.2
2010s,k2-86,1,1.96,4.5
2010s,k2-87,1,7.6,44.9
2010s,k2-88,1,1.23,2.04
2010s,k2-89,1,0.615,0.17
2010s,k2-9,1,2.25,5.69
2010s,k2-91,1,1.1,1.37
2010s,k2-95,1,3.31,11.0
2010s,k2-97,1,13.451,174.488
2010s,k2-98,1,5.066,34.008
2010s,k2-99,1,11.882,276.511
2010s,kap and,1,12.3,4327.36
2010s,kapteyn,1,2.54,7.0
2010s,kelt-1,1,12.442,8654.15
2010s,kelt-10,1,15.681,215.807
2010s,kelt-11,1,15.132,65.155
2010s,kelt-12,1,19.952,301.939
2010s,kelt-14,1,19.537,408.094
2010s,kelt-15,1,19.504,416.357
2010s,kelt-16,1,15.861,874.033
2010s,kelt-17,1,17.094,416.357
2010s,kelt-18,1,17.598,375.039
2010s,kelt-19 a,1,21.409,1293.568
2010s,kelt-2 a,1,15.132,540.311
2010s,kelt-20,1,19.515,1074.901
2010s,kelt-21,1,17.777,1242.715
2010s,kelt-23 a,1,14.83,298.125
2010s,kelt-24,1,12.711,1458.832
2010s,kelt-3,1,17.486,616.59
2010s,kelt-4 a,1,19.044,286.683
2010s,kelt-7,1,17.934,441.784
2010s,kelt-8,1,18.159,209.768
2010s,kelt-9,1,21.196,915.35
2010s,kepler-1000,1,4.76,20.3
2010s,kepler-1001,1,3.15,10.1
2010s,kepler-1002,1,1.71,3.57
2010s,kepler-1003,1,1.78,3.82
2010s,kepler-1004,1,6.28,32.5
2010s,kepler-1005,1,1.5,2.86
2010s,kepler-1006,1,1.54,2.99
2010s,kepler-1007,1,1.44,2.67
2010s,kepler-1008,1,1.28,2.18
2010s,kepler-1009,1,2.17,5.35
2010s,kepler-1010,1,2.32,5.99
2010s,kepler-1011,1,2.87,8.6
2010s,kepler-1012,1,1.29,2.21
2010s,kepler-1013,1,2.15,5.27
2010s,kepler-1014,1,2.39,6.3
2010s,kepler-1015,1,3.55,12.3
2010s,kepler-1017,1,1.99,4.62
2010s,kepler-1018,1,2.58,7.18
2010s,kepler-1019,1,1.46,2.73
2010s,kepler-1020,1,2.28,5.82
2010s,kepler-1021,1,2.33,6.04
2010s,kepler-1022,1,2.36,6.17
2010s,kepler-1023,1,2.63,7.41
2010s,kepler-1024,1,3.91,14.5
2010s,kepler-1025,1,1.98,4.58
2010s,kepler-1026,1,2.21,5.52
2010s,kepler-1027,1,0.89,0.64
2010s,kepler-1028,1,1.33,2.33
2010s,kepler-1029,1,1.26,2.13
2010s,kepler-1030,1,2.48,6.71
2010s,kepler-1031,1,0.87,0.59
2010s,kepler-1032,1,1.87,4.16
2010s,kepler-1033,1,2.51,6.85
2010s,kepler-1034,1,2.26,5.73
2010s,kepler-1035,1,1.17,1.71
2010s,kepler-1036,1,3.01,9.32
2010s,kepler-1037,1,1.28,2.18
2010s,kepler-1038,1,3.53,12.2
2010s,kepler-1039,1,1.46,2.73
2010s,kepler-1040,1,2.08,4.98
2010s,kepler-1041,1,2.94,8.96
2010s,kepler-1042,1,2.19,5.43
2010s,kepler-1043,1,2.55,7.04
2010s,kepler-1044,1,2.67,7.61
2010s,kepler-1045,1,2.69,7.7
2010s,kepler-1046,1,1.71,3.57
2010s,kepler-1048,1,1.61,3.22
2010s,kepler-1049,1,0.95,0.809
2010s,kepler-1051,1,3.4,11.5
2010s,kepler-1052,1,2.93,8.91
2010s,kepler-1053,1,0.98,0.904
2010s,kepler-1054,1,2.63,7.41
2010s,kepler-1055,1,1.23,2.04
2010s,kepler-1056,1,3.01,9.32
2010s,kepler-1057,1,3.36,11.2
2010s,kepler-1058,1,2.72,7.85
2010s,kepler-1059,1,1.73,3.64
2010s,kepler-1060,1,2.38,6.26
2010s,kepler-1061,1,1.98,4.58
2010s,kepler-1062,1,1.76,3.75
2010s,kepler-1063,1,1.49,2.83
2010s,kepler-1064,1,1.55,3.02
2010s,kepler-1066,1,2.36,6.17
2010s,kepler-1067,1,0.8,0.437
2010s,kepler-1068,1,3.63,12.8
2010s,kepler-1069,1,1.6,3.19
2010s,kepler-1070,1,1.73,3.64
2010s,kepler-1071,1,2.38,6.26
2010s,kepler-1072,1,1.58,3.12
2010s,kepler-1074,1,1.25,2.1
2010s,kepler-1075,1,1.42,2.6
2010s,kepler-1076,1,0.8,0.437
2010s,kepler-1077,1,2.77,8.1
2010s,kepler-1078,1,1.9,4.27
2010s,kepler-1079,1,1.63,3.29
2010s,kepler-1080,1,3.28,10.8
2010s,kepler-1081,1,1.01,1.01
2010s,kepler-1082,1,1.12,1.46
2010s,kepler-1083,1,3.36,11.2
2010s,kepler-1084,1,1.11,1.41
2010s,kepler-1085,1,7.22,41.2
2010s,kepler-1087,1,0.61,0.165
2010s,kepler-1088,1,1.42,2.6
2010s,kepler-1089,1,1.83,4.01
2010s,kepler-1090,1,2.25,5.69
2010s,kepler-1091,1,1.46,2.73
2010s,kepler-1092,1,2.07,4.94
2010s,kepler-1094,1,3.18,10.2
2010s,kepler-1095,1,1.21,1.92
2010s,kepler-1096,1,1.24,2.07
2010s,kepler-1097,1,3.26,10.7
2010s,kepler-1098,1,1.3,2.24
2010s,kepler-1099,1,2.83,8.4
2010s,kepler-1100,1,1.75,3.71
2010s,kepler-1101,1,2.47,6.66
2010s,kepler-1102,1,2.66,7.56
2010s,kepler-1103,1,2.27,5.77
2010s,kepler-1104,1,1.23,2.04
2010s,kepler-1105,1,2.01,4.7
2010s,kepler-1106,1,1.65,3.36
2010s,kepler-1107,1,1.34,2.36
2010s,kepler-1108,1,1.46,2.73
2010s,kepler-1109,1,2.19,5.43
2010s,kepler-1110,1,2.66,7.56
2010s,kepler-1111,1,2.0,4.66
2010s,kepler-1112,1,3.02,9.38
2010s,kepler-1113,1,2.81,8.3
2010s,kepler-1114,1,1.35,2.39
2010s,kepler-1115,1,1.7,3.53
2010s,kepler-1116,1,2.54,6.99
2010s,kepler-1117,1,1.11,1.41
2010s,kepler-1118,1,2.74,7.95
2010s,kepler-1119,1,1.92,4.35
2010s,kepler-1120,1,1.38,2.48
2010s,kepler-1121,1,1.91,4.31
2010s,kepler-1122,1,2.04,4.82
2010s,kepler-1123,1,1.67,3.43
2010s,kepler-1124,1,1.28,2.18
2010s,kepler-1125,1,1.84,4.04
2010s,kepler-1126,1,1.73,3.64
2010s,kepler-1127,1,1.96,4.5
2010s,kepler-1128,1,3.65,12.9
2010s,kepler-1130,1,0.8,0.437
2010s,kepler-1131,1,1.59,3.15
2010s,kepler-1132,1,2.35,6.12
2010s,kepler-1133,1,1.97,4.54
2010s,kepler-1134,1,2.64,7.46
2010s,kepler-1135,1,1.85,4.08
2010s,kepler-1136,1,1.64,3.33
2010s,kepler-1137,1,2.2,5.48
2010s,kepler-1138,1,1.7,3.53
2010s,kepler-1139,1,1.19,1.81
