disc_era,hostname_canon,n_planets,avg_pl_rade,avg_pl_bmasse
2010s,kepler-289,3,5.583,55.403
2010s,kepler-295,3,1.25,2.037
2010s,kepler-298,3,2.13,5.227
2010s,kepler-30,3,8.333,224.8
2010s,kepler-301,3,1.483,2.83
2010s,kepler-305,3,3.22,7.567
2010s,kepler-31,3,4.9,1230.562
2010s,kepler-310,3,2.347,6.737
2010s,kepler-319,3,2.183,5.52
2010s,kepler-325,3,2.747,7.997
2010s,kepler-326,3,1.377,22.967
2010s,kepler-327,3,1.29,8.45
2010s,kepler-331,3,1.767,3.78
2010s,kepler-332,3,1.147,1.597
2010s,kepler-334,3,1.32,2.22
2010s,kepler-336,3,1.83,4.103
2010s,kepler-339,3,1.247,8.2
2010s,kepler-350,3,2.583,12.633
2010s,kepler-351,3,2.99,7.917
2010s,kepler-354,3,1.463,2.793
2010s,kepler-357,3,2.647,7.75
2010s,kepler-359,3,3.947,5.933
2010s,kepler-363,3,1.633,24.303
2010s,kepler-372,3,1.713,3.647
2010s,kepler-374,3,1.147,1.573
2010s,kepler-398,3,0.94,0.791
2010s,kepler-399,3,1.427,2.567
2010s,kepler-401,3,2.043,4.87
2010s,kepler-403,3,1.473,2.803
2010s,kepler-42,3,0.693,20.467
2010s,kepler-431,3,0.847,0.67
2010s,kepler-445,3,1.78,4.023
2010s,kepler-446,3,1.32,2.22
2010s,kepler-450,3,3.199,16.5
2010s,kepler-46,3,8.066,676.61
2010s,kepler-47,3,4.913,8.087
2010s,kepler-51,3,8.6,4.567
2010s,kepler-52,3,1.963,89.759
2010s,kepler-53,3,2.727,61.397
2010s,kepler-54,3,1.62,4.592
2010s,kepler-56,3,9.703,662.367
2010s,kepler-58,3,2.86,111.281
2010s,kepler-60,3,1.867,4.067
2010s,kepler-603,3,3.49,14.77
2010s,kepler-68,3,5.745,92.11
2010s,kepler-770,3,1.633,3.437
2010s,kepler-81,3,2.0,7.807
2010s,kepler-83,3,2.377,3.023
2010s,kepler-9,3,6.003,27.238
2010s,kepler-92,3,2.726,27.422
2010s,kic 10001893,3,,
2010s,l 98-59,3,1.264,1.367
2010s,toi-270,3,1.87,3.96
2010s,wolf 1061,3,1.853,4.34
2010s,yz cet,3,0.998,0.977
2010s,24 sex,2,13.65,452.89
2010s,7 cma,2,13.65,432.249
2010s,bd-06 1339,2,8.38,788.017
2010s,corot-20,2,10.808,3384.89
2010s,corot-24,2,4.35,16.85
2010s,epic 212737443,2,2.638,7.45
2010s,epic 220674823,2,2.258,7.56
2010s,gam lib,2,13.25,1010.218
2010s,gj 1132,2,1.311,2.239
2010s,gj 1148,2,10.805,82.38
2010s,gj 143,2,1.751,13.2
2010s,gj 15 a,2,4.11,19.515
2010s,gj 180,2,2.42,6.445
2010s,gj 273,2,1.285,2.035
2010s,gj 3323,2,1.275,2.165
2010s,gj 3998,2,1.945,4.66
2010s,gj 433,2,4.3,19.232
2010s,gj 682,2,2.41,6.55
2010s,hat-p-17,2,12.435,632.471
2010s,hat-p-44,2,13.461,691.586
2010s,hats-59,2,12.461,2146.306
2010s,hd 102329,2,13.05,1538.297
2010s,hd 106315,2,3.395,13.9
2010s,hd 109271,2,4.79,20.658
2010s,hd 113538,2,13.5,204.99
2010s,hd 116029,2,13.65,424.303
2010s,hd 133131 a,2,13.95,292.404
2010s,hd 134060,2,4.535,19.695
2010s,hd 13908,2,13.35,952.655
2010s,hd 1461,2,2.325,6.015
2010s,hd 147873,2,13.05,1182.328
2010s,hd 148164,2,13.25,1015.467
2010s,hd 15337,2,2.148,6.656
2010s,hd 156279,2,12.5,3048.292
2010s,hd 159243,2,13.55,481.515
2010s,hd 1605,2,13.4,723.699
2010s,hd 163607,2,13.6,474.298
2010s,hd 176986,2,,1792.87
2010s,hd 192310,2,4.76,20.45
2010s,hd 20003,2,3.66,13.05
2010s,hd 200964,2,13.6,447.028
2010s,hd 202696,2,,613.412
2010s,hd 204313,2,8.605,741.97
2010s,hd 207832,2,14.1,205.0
2010s,hd 213885,2,3.228,14.39
2010s,hd 21693,2,3.57,12.8
2010s,hd 23472,2,1.935,5.865
2010s,hd 27894,2,10.47,1057.574
2010s,hd 33142,2,13.8,341.666
2010s,hd 33844,2,13.45,597.52
2010s,hd 40307,2,2.345,6.15
2010s,hd 45184,2,3.215,10.5
2010s,hd 4732,2,13.25,850.35
2010s,hd 47366,2,13.45,572.727
2010s,hd 51608,2,3.745,13.54
2010s,hd 67087,2,13.0,1256.5
2010s,hd 75784,2,13.3,1055.196
2010s,hd 7924,2,,1665.421
2010s,hd 99706,2,13.25,1099.692
2010s,hip 54373,2,3.22,10.53
2010s,hip 65407,2,14.1,192.605
2010s,hip 67851,2,13.2,1285.139
2010s,hu aqr,2,12.85,1652.716
2010s,k2-117,2,2.045,4.84
2010s,k2-141,2,4.255,6.485
2010s,k2-146,2,2.12,6.63
2010s,k2-154,2,2.03,4.78
2010s,k2-158,2,1.96,4.82
2010s,k2-166,2,1.705,3.705
2010s,k2-168,2,1.585,3.195
2010s,k2-170,2,1.61,3.25
2010s,k2-172,2,2.436,6.91
2010s,k2-18,2,2.51,8.215
