pl_name,hostname,discoverymethod,disc_year,sy_snum,sy_pnum,sy_dist,ra,dec,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass
"HD 148164 c","HD 148164","Radial Velocity",2018,1,2,77.19710000,246.4351678,11.9190729,5062.00000000000,12.80000000,1640.00280000,,6032.00,1.340000,1.210000
"HD 29985 b","HD 29985","Radial Velocity",2022,1,1,31.27070000,70.5216589,-33.9210696,20608.14049000000,12.80000000,1739.47487151,,4678.00,0.574666,0.750000
"HD 3167 c","HD 3167","Transit",2016,1,4,47.28990000,8.7401487,4.3807215,29.84540000000,3.00000000,11.13000000,564.00,5261.00,0.880000,0.837000
"HD 90156 b","HD 90156","Radial Velocity",2009,1,1,21.94960000,155.9801144,-29.6451030,49.77000000000,4.43000000,17.98000000,,5599.00,0.920286,0.840000
"HD 45350 b","HD 45350","Radial Velocity",2004,1,1,46.87330000,97.1902262,38.9627315,963.60000000000,13.50000000,568.89000000,,5566.00,1.264420,0.980000
"MOA-2009-BLG-266L b","MOA-2009-BLG-266L","Microlensing",2011,1,1,3040.00000000,267.0081250,-35.0054111,2800.00000000000,3.21000000,10.40000000,,,,0.560000
"Kepler-595 c","Kepler-595","Transit",2020,1,2,643.00900000,294.5703593,50.6730147,12.38602000000,1.00900000,3.30000000,679.00,5138.50,0.821000,0.930000
"Kepler-595 b","Kepler-595","Transit",2016,1,2,643.00900000,294.5703593,50.6730147,25.30290920000,3.70800000,17.40000000,535.00,5138.50,0.821000,0.930000
"HD 177830 c","HD 177830","Radial Velocity",2010,2,2,62.76740000,286.3363574,25.9204327,110.90000000000,7.87000000,47.67250000,,4949.00,2.620000,1.470000
"ups And c","ups And","Radial Velocity",1999,2,3,13.40540000,24.1983534,41.4038147,241.25800000000,12.30000000,4443.24112986,,6156.77,1.560000,1.300000
"OGLE-TR-111 b","OGLE-TR-111","Transit",2004,1,1,1068.33000000,163.3241150,-61.4056976,4.01444630000,11.42197100,174.79900000,1019.00,5040.00,0.830000,0.820000
"HD 192310 b","HD 192310","Radial Velocity",2011,1,2,8.79687000,303.8284712,-27.0337556,74.72000000000,4.27000000,16.90000000,355.00,5166.00,0.857922,0.800000
"PSR B1257+12 b","PSR B1257+12","Pulsar Timing",1994,1,3,600.00000000,195.0149029,12.6823534,25.26200000000,0.33800000,0.02000000,,,,1.400000
"PSR B1257+12 d","PSR B1257+12","Pulsar Timing",1992,1,3,600.00000000,195.0149029,12.6823534,98.21140000000,1.80000000,3.90000000,,,,1.400000
"ups And d","ups And","Radial Velocity",1999,2,3,13.40540000,24.1983534,41.4038147,1276.46000000000,12.50000000,3257.74117175,,6156.77,1.560000,1.300000
"MOA-2007-BLG-192L b","MOA-2007-BLG-192L","Microlensing",2008,1,1,1000.00000000,272.0158250,-27.1500750,,1.63000000,3.30000000,,,,0.060000
"CoRoT-18 b","CoRoT-18","Transit",2011,1,1,764.88900000,98.1724172,-0.0316045,1.90006930000,14.68000000,1102.82000000,1550.00,5440.00,1.000000,0.950000
"Kepler-45 b","Kepler-45","Transit",2011,1,1,381.94900000,292.8729292,41.0641727,2.45523900000,10.76000000,160.49700000,1000.00,3820.00,0.550000,0.590000
"WASP-23 b","WASP-23","Transit",2010,1,1,207.49000000,101.1275033,-42.7622296,2.94442560000,10.78300000,280.95000000,1076.55,5150.00,0.765000,0.780000
"HD 107148 b","HD 107148","Radial Velocity",2005,2,2,49.41560000,184.8059773,-3.3199927,48.05600000000,9.60000000,66.74100000,,5797.00,1.169193,1.120000
"SWEEPS-11 b","SWEEPS-11","Transit",2006,1,1,8500.00000000,269.7583333,-29.1981944,1.79600000000,12.66600000,3082.82000000,,,1.450000,1.100000
"OGLE-TR-211 b","OGLE-TR-211","Transit",2007,1,1,1515.26000000,160.0598236,-62.4555353,3.67724000000,15.24400000,327.35100000,1686.00,6325.00,1.640000,1.330000
"Lupus-TR-3 b","Lupus-TR-3","Transit",2007,1,1,773.40900000,232.5774696,-42.9799461,3.91405000000,9.97600000,257.43100000,,5000.00,0.820000,0.870000
